DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Jupe en dentelle Ecru, écru  ,#e4d9d0,Silver,LightGrey,#eabead,Silver,LightPink,#e7dfd6,Silver,LightGrey,#deccc0,Silver,LightGrey,,,
Jupe en dentelle Ecru, écru  ,#e4d9d0,Silver,LightGrey,#eabead,Silver,LightPink,#e7dfd6,Silver,LightGrey,#deccc0,Silver,LightGrey,,,
Jupe motifs fleuris   Bleu, bleu,#efc9b3,Silver,LightPink,#eeccb7,Silver,Moccasin,#9ea9b8,Silver,DarkGrey,#ced8e1,Silver,LightGrey,,,
Jupe volantée motifs fantaisie   Bleu marine, bleu marine,#f0cdb6,Silver,Moccasin,#eccab4,Silver,LightPink,#48354a,Gray,MidnightBlue,#323055,Teal,MidnightBlue,,,
Jupe motifs fantaisie Violet, violet,#e4c2b1,Silver,LightPink,#e0bea9,Silver,Tan,#9b818d,Gray,Grey,#422838,Black,MidnightBlue,,,
Jupe motifs fantaisie Violet, violet,#e4c2b1,Silver,LightPink,#e0bea9,Silver,Tan,#9b818d,Gray,Grey,#422837,Black,MidnightBlue,,,
Jupe motifs fantaisie Violet, violet,#e4c2b1,Silver,LightPink,#e0bea9,Silver,Tan,#9b818d,Gray,Grey,#422838,Black,MidnightBlue,,,
Jupe motifs fleuris   Blanc et rouge, blanc et rouge  ,#edc5b1,Silver,LightPink,#edc5b4,Silver,LightPink,#eec0b9,Silver,LightPink,#f19d9e,Silver,Tan,,,
Jupe motifs fleuris   Blanc et rouge, blanc et rouge  ,#edc5b1,Silver,LightPink,#edc5b4,Silver,LightPink,#eec0b8,Silver,LightPink,#f19d9d,Silver,Tan,,,
Jupe motifs fantaisie   Bleu marine, bleu marine,#eac3ae,Silver,LightPink,#e8c4b0,Silver,LightPink,#4f4149,Gray,DimGrey,#322732,Black,MidnightBlue,,,
Jupe motifs fantaisie   Bleu marine, bleu marine,#eac3ae,Silver,LightPink,#e8c4b0,Silver,LightPink,#4f4149,Gray,DimGrey,#322732,Black,MidnightBlue,,,
Jupe à pois   Bleu marine, bleu marine et blanc  ,#e0b7a6,Silver,Tan,#ebc8b4,Silver,LightPink,#4c4d6c,Gray,DimGrey,#373a5c,Teal,MidnightBlue,,,
Jupe à pois   Bleu marine, bleu marine et blanc  ,#e0b7a6,Silver,Tan,#ebc8b4,Silver,LightPink,#4d4e6c,Gray,DimGrey,#373a5c,Teal,MidnightBlue,,,
Jupe à pois   Bleu marine, bleu marine et blanc  ,#e0b7a6,Silver,Tan,#ebc8b4,Silver,LightPink,#4d4e6d,Gray,DimGrey,#373a5c,Teal,MidnightBlue,,,
Jupe motifs aztèques Bleu, bleu,#e6bda6,Silver,Tan,#ebc3ad,Silver,LightPink,#d9645d,Gray,Tomato,#a0b8d3,Silver,Silver,,,
Jupe motifs aztèques Bleu, bleu,#e6bda6,Silver,Tan,#ebc3ad,Silver,LightPink,#d9645d,Gray,Tomato,#a0b8d3,Silver,Silver,,,
Jupe motifs aztèques Bleu, bleu,#e6bda6,Silver,Tan,#ebc3ad,Silver,LightPink,#d9645d,Gray,Tomato,#a0b8d3,Silver,Silver,,,
Jupe motifs aztèques Bleu, bleu,#e6bda6,Silver,Tan,#ebc3ad,Silver,LightPink,#d9645d,Gray,Tomato,#a0b8d3,Silver,Silver,,,
Jupe motifs aztèques Bleu, bleu,#e6bda6,Silver,Tan,#ebc3ad,Silver,LightPink,#d9645d,Gray,Tomato,#a0b8d3,Silver,Silver,,,
